Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2023-10-25
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-06-30;13;198,2;14,768611;
2020-07-31;18;360,6;11,337695;
2020-08-31;7;111,8;14,749597;
2020-09-30;17;134,4;16,161806;
2020-10-31;7;50;18,105511;
2020-11-30;7;39;19,270555;
2020-12-31;16;125;21,064113;
2021-01-31;17;180,8;21,920968;
2021-02-28;10;109,8;20,939286;
2021-03-31;18;148,6;20,495564;
2021-04-30;6;6,8;18,336528;
2021-05-31;17;198;13,120565;
2021-06-30;14;167,2;12,05125;
2021-07-31;8;35,4;12,152016;
2021-08-31;12;117,2;15,214919;
2021-09-30;13;157,4;16,402639;
2021-10-31;14;105,8;17,207527;
2021-11-30;9;40,2;19,634287;
2021-12-31;5;31,2;21,525269;
2022-01-31;11;81,6;23,928086;
2022-02-28;10;100,2;22,41525;
2022-03-31;21;177,8;19,909584;
2022-04-30;12;154;17,341806;
2022-05-31;22;295;12,828898;
2022-06-30;18;203;11,028929;
2022-07-31;12;147,8;15,747212;
2022-08-31;16;105,4;13,279794;
2022-09-30;19;55,6;13,931111;
2022-10-31;19;98;16,391339;
2022-11-30;7;78,2;18,205352;
2022-12-31;13;137,6;21,614072;
2023-01-31;13;86,8;23,174698;
2023-02-28;14;138,4;21,534055;
2023-03-31;14;89,4;22,305774;
2023-04-30;13;62,2;17,465694;
2023-05-31;10;null;15,831565;
2023-06-30;7;null;14,117917;
2023-07-31;7;163,8;13,517473;
2023-08-31;9;65,8;15,395968;
2023-09-30;19;427;16,953472;
2023-10-31;12;null;null;

