Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Saint Clair Family Estate;Rapaura Reserve Merlot;Silver;90;New Zealand;Marlborough;Not Applicable;2019;Red
Gialdi Vini;Platinum;Silver;90;Switzerland;Ticino;Not Applicable;2019;Red
Château Cormeil-Figeac;-;Silver;91;France;Bordeaux;Saint-Emilion Grand Cru;2019;Red
Casa De Santar;Vinha Dos Amores Encruzado;Silver;90;Portugal;Dão;Not Applicable;2019;White
Saturno;Reserva;Silver;90;Portugal;Alentejano;Not Applicable;2019;Red
Little Engine Wines;Gold Chardonnay;Silver;90;Canada;British Columbia;Naramata Bench;2019;White
Las Mercedes Del Cabriel;Esencia Bobal;Silver;92;Spain;Utiel Requena;Not Applicable;2019;Red
Tesalia;-;Silver;91;Spain;Cádiz;Not Applicable;2019;Red
Katarzyna Estate;Reserve;Silver;92;Bulgaria;Southern Region - Thracian Lowland;Thracian Valley;2019;Red
Terreno;Sillano;Silver;90;Italy;Tuscany;Chianti Classico Gran Selezione;2019;Red
Terreno;A Sofia;Silver;90;Italy;Tuscany;Chianti Classico Gran Selezione;2019;Red
Chateau Pontet Saint Brice;-;Silver;90;France;Bordeaux;Saint-Emilion Grand Cru;2019;Red
Château Capion;-;Silver;91;France;Languedoc-Roussillon;Languedoc Terrasses du Larzac;2019;Red
Château Capion;Le Chemin Des Garennes;Silver;90;France;Languedoc-Roussillon;Languedoc Terrasses du Larzac;2019;Red
Cantina Dessena;Balentìa;Silver;92;Italy;Sardinia;Cannonau di Sardegna Riserva;2019;Red
Château Capion;-;Silver;91;France;Languedoc-Roussillon;Languedoc;2019;White
Patz & Hall;Pinot Noir;Silver;90;United States;California;Sonoma Coast;2019;Red
Patz & Hall;Gap's Crown Pinot Noir;Silver;90;United States;California;Sonoma Coast;2019;Red
Chateau Ste. Michelle;Cabernet Sauvignon;Silver;91;United States;Washington State;Columbia Valley;2019;Red
Vigna Petrussa;Richenza;Silver;94;Italy;Friuli-Venezia Giulia;Venezia Giulia;2019;White
Vigna Petrussa;Schioppettino;Silver;94;Italy;Friuli-Venezia Giulia;Colli Orientali del Friuli Prepotto;2019;Red
Burrowing Owl Estate Winery;Athene;Silver;91;Canada;British Columbia;Okanagan Valley;2019;Red
Eguren Ugarte;80's Festive Time Wines Alavesa;Silver;90;Spain;Rioja;Not Applicable;2019;Red
Chateau Yuhao;Fort Kaman Private Selection Cabernet Sauvignon;Silver;91;China (Mainland);Ningxia;Helan Mountain East;2019;Red
Xige Estate;Jade Dove Single Vineyard Cabernet Gernischt;Silver;92;China (Mainland);Ningxia;Helan Mountain East;2019;Red
Viña Edén;Chardonnay;Silver;91;Uruguay;Maldonado;Not Applicable;2019;White
Château De Bouchassy;Miroir;Silver;93;France;Rhône;Lirac;2019;Red
Paolo E Noemia D'amico;Notturno Dei Calanchi Pinot Noir;Silver;92;Italy;Umbria;Umbria;2019;Red
La Celia;-;Silver;90;Argentina;Mendoza;La Consulta, San Carlos;2019;Red
Castello Di Vicarello;Poggio Vico;Silver;90;Italy;Tuscany;Maremma Toscana;2019;Red
Mauro Molino;Conca;Silver;91;Italy;Piedmont;Barolo;2019;Red
Castello Di Vicarello;Merah;Silver;90;Italy;Tuscany;Toscana;2019;Red
Bergerie Du Capucin;Larmanela;Silver;90;France;Languedoc-Roussillon;Languedoc Pic Saint Loup;2019;Red
Changyu;Noble Dragon N268;Silver;91;China (Mainland);Shandong;Yantai;2019;Red
Bodegas Piqueras;VS Monastrell-Garnacha Tintorera;Silver;91;Spain;Almansa;Not Applicable;2019;Red
Tarras Vineyards;The Canyon Pinot Noir;Silver;93;New Zealand;Central Otago;Bendigo;2019;Red
Vignobles Luc Schweitzer;Château Bourdieu Absolu;Silver;90;France;Bordeaux;Blaye Côtes de Bordeaux;2019;Red
Golden Amrita;Single Estate Shiraz;Silver;90;Australia;South Australia;Barossa Valley;2019;Red
Chateau Changyu Castel;G2 Cabernet Gernischt;Silver;92;China (Mainland);Shandong;Yantai;2019;Red
Chateau Changyu Castel;G2 Carbernet Sauvignon-Syrah;Silver;90;China (Mainland);Shandong;Yantai;2019;Red
Chateau Changyu Rena;R388 Syrah;Silver;90;China (Mainland);Shaanxi;Not Applicable;2019;Red
Chateau Changyu Rena;R588 Syrah;Silver;93;China (Mainland);Shaanxi;Not Applicable;2019;Red
Nk'mip Cellars;QwAM QwMT Merlot;Silver;90;Canada;British Columbia;Okanagan Valley;2019;Red
Nk'mip Cellars;Qwam Qwmt Syrah;Silver;90;Canada;British Columbia;Okanagan Valley;2019;Red
Mas Du Novi;Ô De Novi;Silver;91;France;Languedoc-Roussillon;Languedoc Grès de Montpellier;2019;Red
El Esteco;Chañar Punco;Silver;92;Argentina;Salta;Calchaquíes;2019;Red
El Esteco;Altimus;Silver;91;Argentina;Salta;Calchaquíes;2019;Red
La Celia;Malbec;Silver;91;Argentina;Mendoza;Paraje Altamira;2019;Red
Gray Monk;Odyssey Merlot;Silver;93;Canada;British Columbia;Okanagan Valley;2019;Red
Carmelo Rodero;-;Silver;93;Spain;Ribera del Duero;Reserva;2019;Red
Valduero;Una Cepa;Silver;90;Spain;Ribera del Duero;Not Applicable;2019;Red
Eraldo Viberti;Roncaglie;Silver;94;Italy;Piedmont;Barolo;2019;Red
Château Le Grand Verdus;Mondet Cabernet Franc;Silver;90;France;Bordeaux;Bordeaux;2019;Red
Blasted Church Vineyards;Syrah;Silver;90;Canada;British Columbia;Okanagan Valley;2019;Red
Blasted Church Vineyards;Nectar of the Gods;Silver;90;Canada;British Columbia;Okanagan Valley;2019;Red
Château d'Arveyres;Cuvée Prestige;Silver;92;France;Bordeaux;Graves de Vayres;2019;Red
Jsc Friends Cellar;Ikano Estate Saperavi;Silver;92;Georgia;Kakheti;Kindzmarauli;2019;Red
Arillo in Terrabianca;-;Silver;92;Italy;Tuscany;Chianti Classico Gran Selezione;2019;Red
Stellenzicht Wines;Tristone Cabernet Sauvignon;Silver;90;South Africa;Stellenbosch;Not Applicable;2019;Red
Evans & Tate;Redbrook Estate Cabernet-Merlot;Silver;91;Australia;Western Australia;Margaret River;2019;Red
Evans & Tate;Redbrook Reserve Chardonnay;Silver;93;Australia;Western Australia;Margaret River;2019;White
Quinta Do Crasto;Roquette & Cazes;Silver;90;Portugal;Douro;Not Applicable;2019;Red
Bodegas Manzanos;1890 Viñedo Singular;Silver;93;Spain;Rioja;Not Applicable;2019;Red
Bodegas Manzanos;Voché;Silver;91;Spain;Rioja;Crianza;2019;Red
Bodegas Manzanos;-;Silver;93;Spain;Rioja;Crianza;2019;Red
Bodegas Berceo;-;Silver;92;Spain;Rioja;Crianza;2019;Red
Vinícola Uvva;Microlote Chardonnay;Silver;90;Brazil;Not Applicable;Not Applicable;2019;White
Vinícola Uvva;Cordel;Silver;92;Brazil;Not Applicable;Not Applicable;2019;Red
Azienda Agricola Giacomo Fenocchio;Villero;Silver;92;Italy;Piedmont;Barolo;2019;Red
Hacienda López De Haro;-;Silver;90;Spain;Rioja;Crianza;2019;Red
Château Les Ormes;-;Silver;93;France;Bordeaux;Saint-Julien;2019;Red
Chateau Corconnac;-;Silver;90;France;Bordeaux;Haut-Médoc;2019;Red
Casa Geraldo;Gran Reserva Colheita De Inverno Syrah;Silver;90;Brazil;Serra da Mantiqueira;Not Applicable;2019;Red
Casa Geraldo;Liberdade;Silver;90;Brazil;Serra da Mantiqueira;Not Applicable;2019;Red
Newton;The Puzzle;Silver;91;United States;California;Napa Valley;2019;Red
Blue Pyrenees Estate;Richardson Reserve Shiraz;Silver;90;Australia;Victoria;Pyrenees;2019;Red
Blue Pyrenees Estate;Richardson Cabernet Sauvignon;Silver;91;Australia;Victoria;Pyrenees;2019;Red
Blue Pyrenees Estate;Richardson Shiraz;Silver;90;Australia;Victoria;Pyrenees;2019;Red
Blue Pyrenees Estate;Section 1 Shiraz;Silver;90;Australia;Victoria;Pyrenees;2019;Red
Paul Hobbs;Chardonnay;Silver;90;United States;California;Russian River Valley;2019;White
Marchesi Frescobaldi;Nipozzano;Silver;90;Italy;Tuscany;Chianti Rùfina Riserva;2019;Red
Marchesi Frescobaldi;Tenuta Perano;Silver;91;Italy;Tuscany;Chianti Classico Riserva;2019;Red
Marchesi Frescobaldi;Tenuta Calimaia;Silver;90;Italy;Tuscany;Vino Nobile di Montepulciano;2019;Red
Wine Company Shumi;Vinobiza;Silver;90;Georgia;Kakheti;Mukuzani;2019;Red
Wine Company Shumi;Salome;Silver;91;Georgia;Kakheti;Napareuli;2019;Red
Susana Balbo;Nosotros Single Vineyard Nómade;Silver;93;Argentina;Mendoza;Paraje Altamira;2019;Red
Vignobles Clement Fayat;Chateau Prieurs De La Commanderie;Silver;90;France;Bordeaux;Pomerol;2019;Red
Waitrose No1;In Partnership With Fratelli Recchia;Silver;90;Italy;Veneto;Valpolicella Classico Superiore Ripasso;2019;Red
Chateau Grand Francais;Heritage;Silver;90;France;Bordeaux;Bordeaux Supérieur;2019;Red
Château Lagrave Paran;Coeur De Cuvée;Silver;90;France;Bordeaux;Bordeaux Supérieur;2019;Red
Domaine du Père Benoit;Cuvée Tane;Silver;90;France;Beaujolais;Brouilly;2019;Red
Finca Villacreces;-;Silver;92;Spain;Ribera del Duero;Not Applicable;2019;Red
Château Siaurac;-;Silver;91;France;Bordeaux;Lalande-de-Pomerol;2019;Red
Finca Buenaventura;Descarriados Grand Malbec;Silver;93;Argentina;Mendoza;Uco Valley;2019;Red
Domaine Les Grandes Costes;-;Silver;91;France;Languedoc-Roussillon;Languedoc Pic Saint Loup;2019;Red
Chateau Landat;-;Silver;91;France;Bordeaux;Haut-Médoc;2019;Red
Viña Chocalan;Alexia;Silver;90;Chile;Maipó Valley;Not Applicable;2019;Red
Peccavi Wines;Cabernet Sauvignon;Silver;92;Australia;Western Australia;Margaret River;2019;Red
Pakravan-Papi;Cancellaia Di Riparbella;Silver;91;Italy;Tuscany;Toscana;2019;Red
Domaines Peyronie;L'harmonie De Fonbadet;Silver;91;France;Bordeaux;Pauillac;2019;Red
Domaines Peyronie;Château Pauillac;Silver;92;France;Bordeaux;Pauillac;2019;Red
Shepherd Vineyard;Reserve;Silver;93;China (Mainland);Ningxia;Helan Mountain East;2019;Red
Shepherd Vineyard;Shepherd Boy;Silver;90;China (Mainland);Ningxia;Helan Mountain East;2019;Red
Francesco Iandolo;-;Silver;90;Italy;Piedmont;Nizza;2019;Red
Proemio Wines;Winemaker Selection Grand Reserve;Silver;90;Argentina;Mendoza;Not Applicable;2019;Red
Kershaw;Clonal Selection Chardonnay;Silver;92;South Africa;Elgin;Not Applicable;2019;White
Kershaw;Clonal Selection Pinot Noir;Silver;94;South Africa;Elgin;Not Applicable;2019;Red
Tenuta Di Frassineto;Maestro Della Chiana;Silver;91;Italy;Tuscany;Toscana;2019;Red
Bodegas Virtus;El Sueco;Silver;91;Spain;Ribera del Duero;Crianza;2019;Red
Mount Pleasant;Maurice O'Shea Shiraz;Silver;93;Australia;New South Wales;Hunter Valley;2019;Red
Mount Pleasant;Single Vineyard Rosehill Shiraz;Silver;93;Australia;New South Wales;Hunter Valley;2019;Red
Cillar De Silos;Flor De Silos;Silver;91;Spain;Ribera del Duero;Not Applicable;2019;Red
Tenuta Del Buonamico;Etichetta Blu;Silver;92;Italy;Tuscany;Montecarlo;2019;Red
Kabola Winery;Amfora Malvazija;Silver;90;Croatia;Coastal;Istria;2019;Orange
Quinta Da Pellada;Pape;Silver;92;Portugal;Dão;Not Applicable;2019;Red
Château Bellevue La Forêt;Optimum;Silver;94;France;Southwest France;Fronton;2019;Red
Antigal Winery & Estates;One La Dolores Single Vineyard Malbec;Silver;90;Argentina;Mendoza;Gualtallary, Tupungato;2019;Red
Antigal Winery & Estates;Uno Malbec Platinum Edition;Silver;90;Argentina;Mendoza;Uco Valley;2019;Red
Maibachfarm;Glanzstück Spätburgunder;Silver;94;Germany;Ahr;Not Applicable;2019;Red
Chateau Flouquet;Invictus;Silver;94;France;Bordeaux;Saint-Emilion Grand Cru;2019;Red
Domaine du Petit Pérou;Vieilles Vignes;Silver;90;France;Beaujolais;Morgon;2019;Red
Tenuta Rocca;Bussia;Silver;91;Italy;Piedmont;Barolo;2019;Red
Tenuta Rocca;-;Silver;90;Italy;Piedmont;Barolo;2019;Red
Tenuta Rocca;Serralunga D'Alba;Silver;90;Italy;Piedmont;Barolo;2019;Red
Bodegas Marqués De Cáceres;-;Silver;90;Spain;Rioja;Crianza;2019;Red
Tenuta Poggio Ai Mandorli;-;Silver;91;Italy;Tuscany;Chianti Classico Gran Selezione;2019;Red
Domaine Du Bourgeais;-;Silver;91;France;Loire;Muscadet Sèvre et Maine La Haye Fouassière;2019;White
Maison Carles;Château Coudert;Silver;90;France;Bordeaux;Saint-Emilion Grand Cru;2019;Red
Château Fonroque;-;Silver;91;France;Bordeaux;Saint-Emilion Grand Cru Classé;2019;Red
Bodegas Ramirez De La Piscina;Selección;Silver;90;Spain;Rioja;Reserva;2019;Red
Bodega Berroja;Lento Latido;Silver;90;Spain;Txacolí de Bizcaia;Not Applicable;2019;White
Château Estanilles;Clos Du Fou;Silver;92;France;Languedoc-Roussillon;Faugères;2019;Red
Château Estanilles;Sous Les Rocs;Silver;90;France;Languedoc-Roussillon;Faugères;2019;Red
Finca Flichman;Dedicado Microterroir Gravel & Stone Malbec;Silver;93;Argentina;Mendoza;Uco Valley;2019;Red
Villa Baulieu;Syrah-Cabernet Sauvignon-Grenache;Silver;90;France;Provence;Coteaux d'Aix-en-Provence;2019;Red
Château Bel Orme;Tronquoy De Lalande;Silver;90;France;Bordeaux;Haut-Médoc;2019;Red
La Falize;Chardonnay;Silver;91;Belgium;Wallonia;Côtes de Sambre et Meuse;2019;White
Château Penin;Les Cailloux;Silver;90;France;Bordeaux;Bordeaux Supérieur;2019;Red
Gagliole;Gallule;Silver;91;Italy;Tuscany;Chianti Classico Gran Selezione;2019;Red
Gagliole;-;Silver;90;Italy;Tuscany;Colli della Toscana Centrale;2019;Red
Gatt Wines;Old Vine Shiraz;Silver;93;Australia;South Australia;Barossa Valley;2019;Red
Qimisola;I Fratelli;Silver;92;Italy;Piedmont;Barbera d'Asti Superiore;2019;Red
Warwick Wine Estate;The Blue Lady Cabernet Sauvignon;Silver;94;South Africa;Stellenbosch;Simonsberg-Stellenbosch;2020;Red
Warwick Wine Estate;Three Cape Ladies;Silver;91;South Africa;Stellenbosch;Not Applicable;2020;Red
Warwick Wine Estate;Professor Black Pitch Black;Silver;91;South Africa;Stellenbosch;Not Applicable;2020;Red
Gatt Wines;Shiraz;Silver;92;Australia;South Australia;Barossa Valley;2020;Red
Weinschloss Koarl Thaller;Ried Vom Schloss Sauvignon Blanc;Silver;90;Austria;Steiermark;Vulkanland;2020;White
Tenimenti Grieco;200 Metri;Silver;91;Italy;Molise;Tintilia;2020;Red
Château Petit Bocq;-;Silver;93;France;Bordeaux;Saint-Estèphe;2020;Red
Pasquale Pelissero;Bricco San Giuliano;Silver;93;Italy;Piedmont;Barbaresco;2020;Red
Pasquale Pelissero;Cascina Crosa;Silver;90;Italy;Piedmont;Barbaresco;2020;Red
Château Brown;Colombier De Brown;Silver;92;France;Bordeaux;Pessac-Léognan;2020;Red
Brown Hill Estate;Golden Mile Cabernet Sauvignon;Silver;91;Australia;Western Australia;Margaret River;2020;Red
Viñedos El Pacto;Valdechuecas;Silver;91;Spain;Rioja;Not Applicable;2020;Red
Domaine De Métifiot;-;Silver;92;France;Provence;Les Baux-de-Provence;2020;Red
Nestor - Weingut Stadler;Ried Lehendorf Pinot Gris;Silver;92;Austria;Burgenland;Not applicable;2020;White
Mongravey;Chateau De Braude;Silver;92;France;Bordeaux;Haut-Médoc;2020;Red
Nestor;Ried Kaiserberg Cabernet Franc;Silver;90;Austria;Burgenland;Not applicable;2020;Red
Nestor;Cuvée Nestor;Silver;93;Austria;Burgenland;Not applicable;2020;Red
Molino Di Sant'Antimo;Perpaolo;Silver;91;Italy;Tuscany;Toscana;2020;Red
Molino Di Sant'Antimo;-;Silver;91;Italy;Tuscany;Rosso di Montalcino;2020;Red
De Simone Vineyards;Cabernet Sauvignon;Silver;92;Canada;Ontario - Niagara Peninsula;Niagara-on-the-Lake;2020;Red
Poplar Grove Winery;Syrah;Silver;92;Canada;British Columbia;Okanagan Valley;2020;Red
Finca Flichman;Dedicado Gran Malbec;Silver;91;Argentina;Mendoza;Uco Valley;2020;Red
Argiano;Solengo;Silver;92;Italy;Tuscany;Rosso Toscana;2020;Red
Peter Zemmer;Furggl Lagrein;Silver;92;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol Riserva;2020;Red
Peter Zemmer;Vigna Kofl Pinot Noir;Silver;93;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol Riserva;2020;Red
Royal Hill;Estate Chardonnay;Silver;92;Croatia;Continental;Hrvatsko Podunavlje;2020;White
Bodega Berroja;-;Silver;92;Spain;Txacolí de Bizcaia;Not Applicable;2020;White
Antica Fattoria La Parrina;Sangiovese Riserva;Silver;90;Italy;Tuscany;Parrina;2020;Red
Antica Fattoria La Parrina;Radaia Merlot;Silver;90;Italy;Tuscany;Parrina;2020;Red
K. Martini & Sohn;Maturum Lagrein;Silver;90;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol Riserva;2020;Red
Bodegas Arzuaga;-;Silver;90;Spain;Ribera del Duero;Crianza;2020;Red
La Rose Pauillac;-;Silver;92;France;Bordeaux;Pauillac;2020;Red
Vik;La Piu Belle;Silver;92;Chile;Cachapoal;Not Applicable;2020;Red
Hahndorf Hill;Blueblood Blaufrankisch;Silver;92;Australia;South Australia;Adelaide Hills;2020;Red
Bodega Puerta Del Abra;Insólito Pinot Noir;Silver;92;Argentina;Buenos Aires;Not Applicable;2020;Red
Fox&archer;Mountain Pinot Noir;Silver;90;Canada;British Columbia;Not Applicable;2020;Red
Fox & Archer;Malbec;Silver;92;Canada;British Columbia;Naramata Bench;2020;Red
Tenuta Casadei;Filare 18 Cabernet Franc;Silver;91;Italy;Tuscany;Toscana;2020;Red
Vinarija Reljić;Rebus Crveni;Silver;90;Serbia;Subotica-Horgoš;Not applicable;2020;Red
Luigi Bosca;Los Nobles Cabernet Sauvignon;Silver;90;Argentina;Mendoza;Las Compuertas, Luján de Cuyo;2020;Red
Sattlerhof;Ried Kapellenweingarten Sauvignon Blanc;Silver;90;Austria;Steiermark;Südsteiermark;2020;White
Sattlerhof;Ried Kranachberg Sauvignon Blanc;Silver;93;Austria;Steiermark;Südsteiermark;2020;White
Maibachfarm;Ahrweiler Silberberg Spätburgunder;Silver;90;Germany;Ahr;Not Applicable;2020;Red
Maibachfarm;Recher Herrenberg Spätburgunder;Silver;93;Germany;Ahr;Not Applicable;2020;Red
Maibachfarm;Heimersheim Burggarten Spätburgunder;Silver;91;Germany;Ahr;Not Applicable;2020;Red
Maibachfarm;Walporzheim Alte Lay Spätburgunder;Silver;93;Germany;Ahr;Not Applicable;2020;Red
Palliser Estate;Hua Nui Single Vineyard Pinot Noir;Silver;94;New Zealand;Wairarapa;Martinborough;2020;Red
Cantina Valle Isarco;Sabiona Riserva Sylvaner;Silver;92;Italy;Trentino-Alto Adige/Südtirol;Alto Adige Valle Isarco;2020;White
Cantina Valle Isarco;Sabiona Riserva Kerner;Silver;91;Italy;Trentino-Alto Adige/Südtirol;Alto Adige Valle Isarco;2020;White
Cantina Terlano;Nova Domus Terlaner;Silver;92;Italy;Trentino-Alto Adige/Südtirol;Alto Adige Terlano Riserva;2020;White
Cantina Terlano;Vorberg Pinot Bianco;Silver;93;Italy;Trentino-Alto Adige/Südtirol;Alto Adige Terlano Riserva;2020;White
Château Castera;-;Silver;93;France;Bordeaux;Médoc;2020;Red
Château Tour Seran;-;Silver;91;France;Bordeaux;Médoc;2020;Red
Château Greysac;-;Silver;92;France;Bordeaux;Médoc;2020;Red
Celler Piñol;L'avi Arrufi;Silver;94;Spain;Terra Alta;Not Applicable;2019;Red
Spring Vale;Family Selection Pinot Noir;Silver;92;Australia;Tasmania;East Coast;2019;Red
Feudi Di San Gregorio;Goleto;Silver;92;Italy;Campania;Greco di Tufo;2019;White
Alessandro Berselli Vini D'italia;Tenuta Arbéta;Silver;90;Italy;Piedmont;Barolo;2019;Red
Tenuta Arbéta;-;Silver;93;Italy;Piedmont;Barbaresco;2019;Red
Weinschloss Koarl Thaller;Rosina;Silver;90;Austria;Steiermark;Not applicable;2019;White
Cantina Andrian;Doran Chardonnay;Silver;94;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol Riserva;2020;White
Château Bellevue La Forêt;Optimum;Silver;92;France;Southwest France;Fronton;2020;Red
The Donum Estate;West Slope Pinot Noir;Silver;91;United States;California;Los Carneros;2020;Red
The Donum Estate;Chardonnay;Silver;90;United States;California;Russian River Valley;2020;White
Nals Margreid;Mantele Sauvignon;Silver;90;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol;2020;White
Domaine La Part Des Anges;-;Silver;92;France;Languedoc-Roussillon;Côtes du Roussillon Villages Caramany;2020;Red
Château De Pommard;Clos Marey-Monge Nicolas-Joseph;Silver;93;France;Burgundy;Pommard;2020;Red
Château De Pommard;Clos Marey-Monge;Silver;94;France;Burgundy;Pommard;2020;Red
Famille Carabello-Baum;-;Silver;93;France;Burgundy;Savigny-lès-Beaune;2020;Red
Famille Carabello-Baum;Les Gréchons;Silver;92;France;Burgundy;Ladoix 1er Cru;2020;White
Famille Carabello-Baum;-;Silver;90;France;Burgundy;Bourgogne Aligoté;2020;White
Kabola Winery;Amfora Muškat Momjanski;Silver;90;Croatia;Coastal;Istria;2020;Orange
Château La Rabotine;-;Silver;93;France;Loire;Sancerre;2020;Red
Chateau La Rabotine;Terres De Droux;Silver;94;France;Loire;Sancerre;2020;Red
Trinity Hill;Syrah;Silver;94;New Zealand;Hawke's Bay;Gimblett Gravels;2020;Red
Trinity Hill;Marsanne-Viognier;Silver;92;New Zealand;Hawke's Bay;Gimblett Gravels;2020;White
Shiloh Winery;Legend Fiddler;Silver;93;Israel;Judean Hills;Shiloh;2020;Red
Shiloh Winery;Cabernet Sauvignon Secret Reserve;Silver;92;Israel;Judean Hills;Shiloh;2020;Red
Shiloh;Secret Reserve Petite Sirah;Silver;90;Israel;Judean Hills;Shiloh;2020;Red
Shiloh;Secret Reserve Cabernet Franc;Silver;90;Israel;Judean Hills;Shiloh;2020;Red
Shiloh;Secret Reserve Merlot;Silver;90;Israel;Judean Hills;Shiloh;2020;Red
Passel Estate;Chardonnay;Silver;91;Australia;Western Australia;Margaret River;2020;White
Hidden Bench Estate Winery;Felseck Vineyard Pinot Noir;Silver;94;Canada;Ontario - Niagara Peninsula;Beamsville Bench;2020;Red
Vinícola Ferreira;São Bernardo Grande Corte;Silver;92;Brazil;Serra da Mantiqueira;Not Applicable;2020;Red
Domaine Bousquet;Ameri Organic Malbec;Silver;93;Argentina;Mendoza;Gualtallary, Tupungato;2020;Red
Château Tournefeuille;-;Silver;92;France;Bordeaux;Lalande-de-Pomerol;2020;Red
Il Conte Villa Prandone;IX Prandone;Silver;94;Italy;Le Marche;Marche;2020;Red
Antonio Arraez;Mala Vida Edición Limitada;Silver;93;Spain;Valencia;Not Applicable;2020;Red
Grgich Hills Estate;Paris Tasting Commemorative Chardonnay;Silver;90;United States;California;Napa Valley;2020;White
Domaine D'en Ségur;Cuvée Madeleine;Silver;90;France;Southwest France;IGP Côtes du Tarn;2020;White
Château Léognan;-;Silver;94;France;Bordeaux;Pessac-Léognan;2020;Red
Bodega Antucura;Pukara Single Vineyard Cabernet Sauvignon;Silver;90;Argentina;Mendoza;Vista Flores, Tunuyán;2020;Red
Bodega Antucura;Single Vineyard Yepún Malbec;Silver;92;Argentina;Mendoza;Vista Flores, Tunuyán;2020;Red
Peccavi Wines;Chardonnay;Silver;92;Australia;Western Australia;Margaret River;2020;White
Deep Woods Estate;Yallingup Grand Selection Cabernet Sauvignon;Silver;93;Australia;Western Australia;Margaret River;2020;Red
Carlo Giacosa;Montefico;Silver;90;Italy;Piedmont;Barbaresco;2020;Red
Carlo Giacosa;Asili;Silver;92;Italy;Piedmont;Barbaresco;2020;Red
Château Grand Ormeau;-;Silver;92;France;Bordeaux;Lalande-de-Pomerol;2020;Red
Domaine Bodin;Cuvée D'emile;Silver;94;France;Provence;Cassis;2020;White
Byron & Harold;The Protocol;Silver;90;Australia;Western Australia;Margaret River;2020;Red
Chateau Mihope;1968 Family Reserve Cabernet Sauvignon;Silver;94;China (Mainland);Ningxia;Helan Mountain East;2020;Red
Chateau Mihope;Reserve;Silver;90;China (Mainland);Ningxia;Helan Mountain East;2020;Red
Quinta da Raza;Avesso-Alvarinho;Silver;92;Portugal;Vinho Verde;Not Applicable;2020;White
Quinta da Raza;Family Collection Nº2;Silver;93;Portugal;Vinho Verde;Not Applicable;2020;White
Domaine De Sauzet;Champ De La Tour;Silver;92;France;Languedoc-Roussillon;IGP Pays d'Oc;2020;Red
Château de Pressac;-;Silver;91;France;Bordeaux;Saint-Emilion Grand Cru Classé;2020;Red
Château de Pressac;Tour de Pressac;Silver;93;France;Bordeaux;Saint-Emilion Grand Cru;2020;Red
Domaine Saint Antoine;Intuition;Silver;91;France;Languedoc-Roussillon;Minervois;2020;Red
Weingut Hans Wirsching;Iphöfer Kammer Silvaner;Silver;90;Germany;Franken;Grosses Gewächs;2020;White
Weingut Hans Wirsching;Iphöfer Julius-Echter-Berg Silvaner;Silver;91;Germany;Franken;Grosses Gewächs;2020;White
Makarounas Vineyards;Yiannoudi;Silver;90;Cyprus;Paphos;Regional Wines;2020;Red
Albert Sounit;Les Saint Jacques;Silver;90;France;Burgundy;Rully;2020;White
Albert Sounit;Mercurey Vieilles Vignes;Silver;90;France;Burgundy;Mercurey;2020;Red
Château Chantelune;-;Silver;94;France;Bordeaux;Margaux;2020;Red
Château Du Moulin;-;Silver;91;France;Bordeaux;Haut-Médoc;2020;Red
In Partnership With Cederberg Syrah;In Partnership With Cederberg Syrah;Silver;91;South Africa;Cederberg;Not Applicable;2020;Red
San Pedro;1865 Selected Collection Desert Valley;Silver;93;Chile;Elqui Valley;Not Applicable;2020;Red
Bodega Colomé;1831 Cabernet Sauvignon;Silver;92;Argentina;Salta;Calchaquíes;2020;Red
Domaine De Baronarques;-;Silver;92;France;Languedoc-Roussillon;Limoux;2020;Red
Domaine De Baronarques;-;Silver;92;France;Languedoc-Roussillon;Limoux;2020;White
Bocale;Rosso;Silver;93;Italy;Umbria;Montefalco;2020;Red
Tobelos Bodegas Y Viñedos;Las Piletas Viñedo Singular;Silver;90;Spain;Rioja;Not Applicable;2020;Red
Weingut Johann Schneeberger;Ried Flamberg Chardonnay;Silver;92;Austria;Steiermark;Südsteiermark;2020;White
Tenuta Luce;Lucente;Silver;92;Italy;Tuscany;Toscana;2020;Red
Mas De La Séranne;Antonin Et Louis;Silver;93;France;Languedoc-Roussillon;Languedoc Terrasses du Larzac;2020;Red
Viña Leyda;Lot 8 Syrah;Silver;93;Chile;San Antonio;Leyda Valley;2020;Red
Viña Leyda;Origin Pinot Noir;Silver;94;Chile;San Antonio;Leyda Valley;2020;Red
Bestheim;Chasseurs De Lune Riesling;Silver;90;France;Alsace;Alsace;2020;White
Hacienda López De Haro;Vino De San Vicente De La Sonsierra;Silver;91;Spain;Rioja;Not Applicable;2020;Red
Vivallis;Superiore Marzemino;Silver;91;Italy;Trentino-Alto Adige/Südtirol;Trentino Ziresi;2020;Red
O'Rourke Family Estate;Clone 96 Chardonnay;Silver;90;Canada;British Columbia;Okanagan Valley;2020;White
O'Rourke Family Estate;Pinot Noir;Silver;90;Canada;British Columbia;Okanagan Valley;2020;Red
