Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Bellingham Wines;Freda The Founder Series;Platinum;97;South Africa;Coastal Region;Not Applicable;2021;White
Domaine Frédéric Mochel;Cuvée Henriette Riesling;Platinum;97;France;Alsace;Grand Cru Altenberg-de-Bergbieten;2021;White
Albert Bichot;Domaine Du Clos Frantin Les Malconsorts;Platinum;97;France;Burgundy;Vosne-Romanée 1er Cru;2021;Red
Albert Bichot;Domaine Du Clos Frantin;Platinum;97;France;Burgundy;Grands-Echezeaux Grand Cru;2021;Red
Albert Bichot;Hospices De Beaune Charmes Cuvée Bahezre De Lanlay;Platinum;97;France;Burgundy;Meursault 1er Cru;2021;White
Weingut Korrell;Norheimer Dellchen Riesling;Platinum;97;Germany;Nahe;Not Applicable;2021;White
Cantina Tramin;Stoan;Platinum;97;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol;2021;White
Ramón Do Casar;Nobre;Platinum;97;Spain;Ribeiro;Not Applicable;2021;White
Yarra Yering;Chardonnay;Platinum;97;Australia;Victoria;Yarra Valley;2021;White
Yarra Yering;Dry Red Wine No. 1;Platinum;97;Australia;Victoria;Yarra Valley;2021;Red
Mikra Thira;Assyrtiko;Platinum;97;Greece;Aegean Islands;Santorini;2021;White
Chartron Et Trebuchet;Beauroy;Platinum;97;France;Burgundy;Chablis 1er Cru;2021;White
Neil Ellis Wines;Whitehall Chardonnay;Platinum;97;South Africa;Elgin;Not Applicable;2021;White
Valli Vineyards;Pinot Noir;Platinum;97;New Zealand;Central Otago;Bannockburn;2021;Red
Rockburn;The Chosen Hillside Pinot Noir;Platinum;97;New Zealand;Central Otago;Not Applicable;2021;Red
Ben Marco;Sin Límites Malbec;Platinum;97;Argentina;Mendoza;Gualtallary, Tupungato;2021;Red
Brokenwood;Indigo Vineyard Chardonnay;Platinum;97;Australia;Victoria;Beechworth;2021;White
Velenosi;Rêve;Platinum;97;Italy;Le Marche;Offida Pecorino;2021;White
Nigl;Ried Pellingen Privat 1 ÖTW Grüner Veltliner;Platinum;97;Austria;Niederösterreich;Kremstal;2021;White
Palliser Estate;Om Santi Single Vineyard Chardonnay;Platinum;97;New Zealand;Wairarapa;Martinborough;2021;White
Qimisola;Il Babbo;Platinum;97;Italy;Piedmont;Barbera d'Asti Superiore;2018;Red
Tenuta Luce;-;Platinum;97;Italy;Tuscany;Brunello di Montalcino;2018;Red
Pago De Los Capellanes;Doroteo;Platinum;97;Spain;Ribera del Duero;Not Applicable;2018;Red
Domaine Histoire D'enfer;L'Enfer Du Calcaire Cornalin;Platinum;97;Switzerland;Valais;Sierre;2018;Red
St. Michael-Eppan;Appius;Platinum;97;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol;2018;White
Badia a Coltibuono;Montebello;Platinum;97;Italy;Tuscany;Toscana;2018;Red
Collemattoni;-;Platinum;97;Italy;Tuscany;Brunello di Montalcino;2018;Red
Bodegas Balbás;Tempranillo;Platinum;97;Spain;Ribera del Duero;Reserva;2018;Red
Colli Di Poianis;Schioppettino;Platinum;97;Italy;Friuli-Venezia Giulia;Colli Orientali del Friuli Prepotto;2018;Red
Kilikanoon;Attunga 1865 Shiraz;Platinum;97;Australia;South Australia;Clare Valley;2018;Red
Buil & Giné;Samsó 108 Anys;Platinum;97;Spain;Priorat;Not Applicable;2018;Red
Real Agrado;Las Planas Blanco De Viura;Platinum;97;Spain;Rioja;Gran Reserva;2018;White
Bodegas BSI;Gémina Finca El Volcán;Platinum;97;Spain;Jumilla;Not Applicable;2018;Red
Rust en Vrede;1694 Classification;Platinum;97;South Africa;Stellenbosch;Not Applicable;2018;Red
Marco Abella;Clos Abella;Platinum;97;Spain;Priorat;Not Applicable;2019;Red
Raineri;Castelletto;Platinum;97;Italy;Piedmont;Barolo;2019;Red
Amalia Cascina in Langa;Bussia Vigna Fantini;Platinum;97;Italy;Piedmont;Barolo;2019;Red
Bodega Los Astrales;-;Platinum;97;Spain;Ribera del Duero;Not Applicable;2019;Red
Tenuta Kornell;Aichberg;Platinum;97;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol;2019;White
Riddoch;The Author Shiraz;Platinum;97;Australia;South Australia;Coonawarra;2019;Red
Domaines Bonfils;Château Capitoul Maelma;Platinum;97;France;Languedoc-Roussillon;Languedoc La Clape;2019;Red
Château De Trignon;-;Platinum;97;France;Rhône;Rasteau;2019;Red
San Pedro;1865 Prelusion;Platinum;97;Chile;Maipó Valley;Not Applicable;2019;Red
Gagliole;Balisca;Platinum;97;Italy;Tuscany;Colli della Toscana Centrale;2019;Red
Cantina Terlano;Primo Grande Cuvée;Platinum;97;Italy;Trentino-Alto Adige/Südtirol;Alto Adige Terlano;2020;White
Viñedos El Pacto;Jesús Acha;Platinum;97;Spain;Rioja;Not Applicable;2019;Red
Carlo Giacosa;Ovello;Platinum;97;Italy;Piedmont;Barbaresco;2020;Red
Château Les Vimières;-;Platinum;97;France;Bordeaux;Haut-Médoc;2020;Red
Domaine De Sauzet;HIC et NVNC;Platinum;97;France;Languedoc-Roussillon;IGP Pays d'Oc;2020;Red
Bodegas Bardos;Moradillo De Roa;Platinum;97;Spain;Ribera del Duero;Not Applicable;2020;Red
Château De Chaintres;Clos Des Oratoriens;Platinum;97;France;Loire;Saumur-Champigny;2020;Red
Gen Del Alma;Seminare Malbec;Platinum;97;Argentina;Mendoza;Gualtallary, Tupungato;2020;Red
Bodegas Remírez De Ganuza;Iraila Garnacha;Platinum;97;Spain;Rioja;Not Applicable;2020;Red
Domaine Pujol;Dius a Vol;Platinum;97;France;Languedoc-Roussillon;Minervois;2020;Red
Lake Chalice;Plume Chardonnay;Platinum;97;New Zealand;Marlborough;Not Applicable;2020;White
Englar Castle Winery;Belasy Chardonnay;Platinum;97;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol Riserva;2020;White
Domaine De La Perrière;Casia;Platinum;97;France;Languedoc-Roussillon;Languedoc Pic Saint Loup;2020;Red
Château Malescasse;-;Platinum;97;France;Bordeaux;Haut-Médoc;2020;Red
Oremus;Mandolás Furmint;Platinum;97;Hungary;Tokaj;Not Applicable;2020;White
Château Famaey;Cuvée X;Platinum;97;France;Southwest France;Cahors;2020;Red
Roberto Scubla;Pomèdes;Platinum;97;Italy;Friuli-Venezia Giulia;Colli Orientali del Friuli;2020;White
Bledsoe Family Winery;Cabernet Sauvignon;Platinum;97;United States;Washington State;Walla Walla Valley;2020;Red
Dawson James;Chardonnay;Platinum;97;Australia;Tasmania;Not Applicable;2020;White
Kakhuri Gvinis Marani;-;Platinum;97;Georgia;Kakheti;Mukuzani;2020;Red
Sons of Eden;Remus Old Vine Shiraz;Platinum;97;Australia;South Australia;Eden Valley;2020;Red
